Title,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,hdr,uhd,subtitles,len_subtitles,len_audio,starring,directors,Title Type,Genre1,Genre2,Genre3,Original or Licensed,Trailer Available,# of Dubbing Languages,# of Subtitle Languages
Guptodhoner Sandhane,Bengali,6.8,130,2019,13+,"A Bengali film about the adventures of history professor Sona Da, as he learns about a hidden treasure in a palace.",,,,,,,,Movie,Suspense, Drama, International,Licensed,Yes,1,4
To Let,Tamil,8,95,2019,All,The film speaks of the difficulty faced by those majority of landless people fighting to get a house for rent at their cost and basic needs.,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,8
Bhoot Chaturdashi,Bengali,3.4,98,2019,13+,Four youngsters head out to an abandoned house to shoot a documentary. What starts off as a regular fun road trip slowly becomes a dangerously haunting experience as a series of strange and unfortunate events start happening to them.,,,,,,,,Movie,Horror,,,Licensed,,1,6
Lipstick Under My Burkha,Hindi,6.8,119,2017,18+,"Set in the crowded by-lanes of small town India, Lipstick Under My Burkha chronicles the secret lives of four women in search of a little freedom. Though stifled and trapped in their worlds, these four women claim their desires through small acts of courage and stealthy rebellion.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,4
Gully Boy,Hindi,8,154,2019,13+,A coming-of-age story based on the lives of street rappers in Mumbai.,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,17
Game,Hindi,5.2,134,2011,13+,"Billionaire Kabir Malhotra (Anupam Kher) appears to have committed suicide while on an island with four of his guests. The Key word here being ""appears"". The guests including Neil Menon (Abhishek Bachchan) who flocked there eagerly do not seem very excited now. With no one to blame and everyone a suspect, investigating officer Sia Agnihotri (Kangana Ranaut) has her work cut out for her.",,,,,,,,Movie,Drama, Suspense, International,Licensed,Yes,1,4
Padi Padi Leche Manasu,Telugu,6.4,152,2018,13+,"Set in Kolkata, the romantic drama chronicles the shared destiny of a young couple as they navigate through the highs and lows of a budding relationship.",,,,,,,,Movie,Drama, International, Romance,Licensed,Yes,1,11
Mr. Family Man,Tamil,6.8,55,2020,16+,"Being a SuperMan may be easy. Being a SpiderMan may be simple. But being a FamilyMan is the most difficult thing ever! Solving a problem without any repercussions, taking responsibilities without any pressure and growing a tummy without any worry a Family Man is what the world needs now. Come let's dive into the world of one such Family Man, Praveen Kumar.",,,,,,,,Movie,Comedy, Arts, Entertainment,Licensed,Yes,1,2
Ninu Veedani Needanu Nene,Telugu,None,123,2019,13+,Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully.,,,,,,,,Movie,Drama, Comedy, International,Licensed,Yes,1,8
Family Katta,Marathi,7.5,124,2016,All,"Family Katta is the story of a splintered family reuniting for the golden anniversary of Bhai and Malati, the parents. It is an opportunity for the family to bury the past, forgive one other and be close again. Things, however don't go as planned and Malati's dream of seeing the family happy together is tested to the limit.",,,,,,,,Movie,Romance,,,Licensed,Yes,1,1
Fences,English,7.2,138,2016,All,"Set in 1950s Pittsburgh, the film adaptation of August Wilson's Pulitzer Prize-winning play takes a passionate look at former baseball player Troy Maxson as he fights to provide for those he loves in a world that threatens to push him down.",,,,,,,,Movie,Arts, Entertainment, and Culture,Licensed,Yes,7,24
Dhruvangal Pathinaru,Tamil,8.3,104,2016,13+,"Deepak retires after an accident cuts off his right leg. Five years down the line, he is forced to revisit all the events leading to the accident.",,,,,,,,Movie,Suspense, International,,Licensed,Yes,1,8
Satyameva Jayate,Hindi,5.7,139,2018,18+,"DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law.",,,,,,,,Movie,Adventure, Suspense, International,Licensed,Yes,1,5
Mere Brother Ki Dulhan,Hindi,5.8,139,2011,13+,"""Kush (Imran Khan) is looking for the ideal Indian bride for his brother Luv (Ali Zafar). In his quest, Kush goes through an array of wacky encounters until he finds that perfect girl in Dimple (Katrina Kaif), the craziest girl he’s ever known. But Kush falls in love with Dimple - his brother's dulhan. What follows is an unpredictable series of events in this unusual topsy-turvy tale of love. """,,,,,,,,Movie,Romance, Comedy, International,Licensed,No,1,8
Shutter Island,Hindi,8.2,138,2010,18+,"When U.S. Marshal Teddy Daniels arrives at the asylum for the criminally insane on Shutter Island, he uncovers terrifying truths about the island and finds out some places never let you go.",,,,,,,,Movie,Drama, Suspense,,Licensed,No,2,1
Road to Ladakh,English,6.2,48,2003,18+,Road To Ladakh is a suspenseful tale of falling in love with the wrong kind of mysterious stranger near the borders of India and Pakistan. A road-movie that drew the talents of a multi-national European crew on an overly ambitious Himalayan adventure so fraught with disasters that it nearly didn't get finished; as documented in The Near Un-making of Road To Ladakh.,,,,,,,,Movie,Drama, International,,Licensed,Yes,1,9
Mission: Impossible Ghost Protocol,English,7.4,132,2011,13+,"Agent Ethan Hunt and his elite team go underground after a bombing implicates them as terrorists. While trying to clear their name, the team uncovers a plot to start a nuclear war.",,,,,,,,Movie,Action,,,Licensed,No,16,31
Raazi,Hindi,7.8,137,2018,13+,"Set in 1971, when the winds of war were blowing between India and Pakistan, Raazi – an adaptation of Harinder Sikka’s novel “Calling Sehmat” – is a true-life story involving a 20 year old Kashmiri girl.",,,,,,,,Movie,International, Drama, Suspense,Licensed,Yes,1,6
Life or Something Like It,English,5.8,103,2002,13+,A reporter is spurred to action to change her life after she interviews a psychic homeless man who tells her that her life has no meaning and will end in a few days.,,,,,,,,Movie,Comedy, Romance,,Licensed,No,2,4
Indiana Jones and the Last Crusade,English,8.2,126,1989,All,"There’s nothing more exciting than trying to keep up with the Joneses in Indiana Jones and the Last Crusade. Indy’s Nazi enemies are back and have kidnapped his father, in their effort to locate the sacred Holy Grail.",,,,,,,,Movie,Action,,,Licensed,Yes,15,27
Ek Tha Tiger,Hindi,5.5,132,2012,13+,"Tiger (Salman Khan) India’s top spy, is sent on a mission to Dublin to observe a scientist who is suspected of sharing information with the Pakistan defense. He meets the scientist’s part time home caretaker, Zoya (Katrina Kaif). As Tiger begins to get closer, he falls in love. What follows is a tumultuous journey that Tiger & Zoya embark upon, battling the dark world of intelligence and espionag",,,,,,,,Movie,International, Action, Romance,Licensed,Yes,1,8
Bheemasena Nalamaharaja,Kannada,6.5,140,2020,13+,"A pinch of love, a dollop of happiness with a scoop of togetherness. Join this cook on a flavorsome journey of love, loss and friendship. When tragedy sizzles through his life, it is to see if he can save the dish and toss a sweet ending.",,,,,,,,Movie,Drama,,,Licensed,Yes,1,1
Natural Born Killers,English,7.3,118,1994,18+,"Mickey (Woody Harrelson) and Mallory (Juliette Lewis), two lovers with a passion for murder, embark down Route 666 on a killing spree.",,,,,,,,Movie,Drama,,,Licensed,Yes,1,2
Begum Jaan,Hindi,5.6,127,2017,18+,"Begum Jaan is a story of 11 fearless women standing up against the system, amidst the changing political scenario during the partition.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,4
Meet Dave,English,5,90,2008,13+,"Seeking a way to save their doomed world, a crew of tiny, human-looking aliens arrives on Earth in the perfect disguise--a spaceship shaped like an ordinary man.",,,,,,,,Movie,Kids, Comedy,,Licensed,No,1,1
Manthan,Marathi,7.7,115,2006,All,"Anjali Deshpande's (Padmini Kolhapure) is an educated woman who has balanced views yet strong convictions. She is married to Bharat (Milind Gunaji) and has a young daughter. Her placid life is turned upside down by a shocking incident of domestic violence, forcing her to re-evaluate her ideas about traditional family roles and the status of women in society.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Aaina,Hindi,6,149,1993,16+,"Roma (Amrita Singh) leaves Ravi (Jackie Shroff) at the alter in pursuit of her bigger ambitions. Her sister Reema (Juhi Chawla), a pale reflection of Roma, steps in and saves the day for her family, having secretly been in love with Ravi all her life.

The newly weds start building a life together till suddenly Roma returns, determined to get back what she thinks Reema stole from her.",,,,,,,,Movie,Romance, Drama, International,Licensed,Yes,1,2
Ye Re Ye Re Paisa 2,Marathi,5.2,134,2019,13+,"The five individuals trying to reach the respective ends in their life personally and professionally, however, fate has other plans for them. They all get into a trouble. It is a tale of mad and fun-filled misunderstandings",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,8
Bailaras,Punjabi,6.5,132,2017,All,"Jagga, a simple man, dreams of finding true love and keeping his family together, which also includes his beloved tractor Bailaras.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Star Trek Into Darkness,English,7.7,132,2013,13+,"When a ruthless mastermind, Khan (Benedict Cumberbatch,) declares a one-man war on the Federation, Captain Kirk (Chris Pine), Spock (Zachary Quinto), and the crew of the U.S.S. Enterprise set out on their most explosive manhunt of all time.",,,,,,,,Movie,Action, Adventure,,Licensed,No,2,1
Pailwaan (Kannada),Kannada,6.4,163,2019,13+,Pailwaan is an emotional roller coaster of a desi grown wrestler who realises the purpose of his life and goes about fulfilling it. A gripping narrative of a sports genre story with action & drama forms the crux of the movie Pailwaan.,,,,,,,,Movie,International, Drama, Action,Licensed,Yes,1,11
Dostana,Hindi,6.7,161,1980,All,"A series of misunderstandings and misinterpretations leads to a fall out of two childhood friends. Vijay and Ravi are childhood friends and work as a police officer and lawyer respectively, however their relationship gets altered when they start fancying the same girl. Mr Dagga, a prolonged enemy takes advantage of the complicated situation and plots to break their friendship.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Cast Away,English,7.8,143,2000,18+,"Tom Hanks ""gives one of the towering screen performances of all time"" (New York Post) as Chuck Noland, a Fed Ex® systems engineer whose existence abruptly ends when a harrowing plane crash leaves him isolated on a remote island.",,,,,,,,Movie,Drama, Action,,Licensed,Yes,10,28
Chasing Happiness,English,7.8,96,2019,16+,"Chasing Happiness is a story of brotherhood. From humble roots as pastor’s sons in New Jersey, through their meteoric rise to fame, the Jonas Brothers’ bond was unshakeable-until a surprising and painful breakup led Joe, Kevin and Nick down very different paths. With deeply personal interviews, previously unreleased footage and exclusive music, this is the Jonas Brothers as never seen before.",,,,,,,,Documentary,Documentary,,,Original,No,2,25
NGK,Tamil,5.9,147,2019,All,"Suriya plays the title role Nandha Gopalan Kumaran, who has completed M.Tech, Ph.D doing organic farming for his living and do social work without any returns, leaving the corporate job, living a happy life with his parents and wife Sai Pallavi. At one point of time, opposition party's Bala Singh induces the idea of joining him in politics and circumstances led him to join the party too.",,,,,,,,Movie,Drama,,,Licensed,Yes,1,14
Newton,Hindi,7.7,104,2017,13+,"As India, the world’s largest democracy, braces itself for another general election - with 9 million polling booths, more than 800 million voters, and costing nearly $5 billion -- Newton Kumar, a rookie government clerk finds himself entrusted with a task that appears deceptively simple: conducting elections in a remote village in the jungles of central India.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Flight,English,7.3,138,2012,18+,"Airline pilot Whip Whitaker miraculously lands his plane after a mid-air catastrophe but questions arise as to who or what was really at fault. * Pete Hammond, Deadline Hollywood",,,,,,,,Movie,Drama,,,Licensed,Yes,10,30
Tula Shikwin Changlach Dhada,Marathi,5.9,152,2007,All,"Acting buffs Sanjay Narvekar and Makrand Anaspure are rejected by a film director Mohan Joshi. Sanjay later falls in love with Rujuta Dehmukh and marries her, unaware of the fact that her uncle is the same director who rejected him. Seeking to teach the man a lesson, Sanjay brings Makrand into the house as a chef. Mohan meanwhile suspects Makrand of having an affair with his niece.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,1
Minority Report,English,7.6,145,2002,18+,"In the future, a division of the police department has the technology to arrest killers before they commit crimes; however, the tables turn on one of the cops working within the division.",,,,,,,,Movie,Action,,,Licensed,Yes,2,1
Kabali,Tamil,6.2,143,2016,13+,"Kabali, a revolutionary who fights for the betterment of his people in a foreign land, is falsely implicated and thrown behind bars. When he returns after his prison term, he starts a search for his wife and ends up confronting those who were the reason behind his miseries. What follows is a tale of revenge, emotion and payback.",,,,,,,,Movie,Action, International, Drama,Licensed,Yes,1,4
Choricha Mamla,Marathi,6.4,132,2020,13+,"Nandan robs houses for a living but never takes more than what he needs. One day while on the job, the house`s owner, Amarjit, enters with Shraddha, a girl he is having an affair with. Amarjit is about to call the police when his wife arrives. Desperate, he asks Nandan to pretend to be with Shraddha so his wife doesn`t get suspicious. The ruse gets harder to keep up, leading to a comedy of errors.",,,,,,,,Movie,Comedy,,,Licensed,Yes,1,1
Pailwaan (Malayalam),Malayalam,6.4,163,2019,13+,Pailwaan is an emotional roller coaster of a desi grown wrestler who realises the purpose of his life and goes about fulfilling it. A gripping narrative of a sports genre story with action & drama forms the crux of the movie Pailwaan.,,,,,,,,Movie,Drama, Action, International,Licensed,Yes,1,7
Firehouse Dog,English,5.5,111,2007,13+,"Rexxx, Hollywood's top canine star, gets lost and is adopted by a shabby firehouse. He teams up with a young kid to get the station back on it's feet.",,,,,,,,Movie,Comedy, Kids,,Licensed,Yes,9,22
Darbar (Tamil),Tamil,6.1,158,2020,13+,A police officer on a chase to hunt down a dreaded gangster for fulfilling his own secret agenda.,,,,,,,,Movie,Drama, International, Action,Licensed,Yes,1,6
Copycat,English,6.6,123,1995,18+,"Helen Hudson is a brilliant forensic psychologist who specializes in the study of serial killers. After one of her subjects attempts to kill her, Hudson suffers a nervous breakdown and becomes agoraphobic. However, when a series of ritualized murders baffle the San Francisco police department, MJ. Monahan, a feisty, intelligent detective, turns to the unwilling Hudson for help in finding the ki...",,,,,,,,Movie,Suspense, Action,,Licensed,Yes,3,3
Bharaate,Kannada,4.9,164,2019,13+,"When Jagan meets Radha, it is love at first sight for him. But finding his happily-ever-after is harder than it seems.",,,,,,,,Movie,International, Action, Drama,Licensed,Yes,1,7
Adhe Kangal,Tamil,7.3,119,2017,All,"A blind chef gets his eyesight back, but the girl he had fallen in love with is missing. What has happened to her? Is morphed into thriller followed by an abduction.",,,,,,,,Movie,International, Romance,,Licensed,Yes,1,8
Nadigaiyar Thilagam (Tamil),Tamil,8.5,167,2018,All,"Nadigaiyar Thilagam is a film about the rise of the first female south-Indian superstar 'Savitri'. Her story is a heart wrenching romantic tragedy for the ages.The film tells a story of the Mahanati; her life, journey to fame, and the dramatic downfall. Keerthy Suresh, elegantly brought Savitri to life, and Gemini Ganesan, played by Dulquer Salman, makes this film a pleasure to watch.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,7
Favourite Nursery Rhymes,English,None,33,2014,All,Favourite Nursery Rhymes,,,,,,,,Movie,Kids,,,Licensed,No,17,17
Ajinkya,Marathi,3.7,105,2013,All,"For Basketball coach Anant Dharmadhikar (Sandeep Kulkarni), winning is everything. But his intense passion for Basketball and a sharp ego separate him not only from his wife Sai (Kadambari Kadam), who is highly successful in the corporate world, but also from the game itself. Amidst such dire consequences, will Anant find a ray of hope?",,,,,,,,Movie,Sports, International, Drama,Licensed,Yes,1,1
My Super Ex-Girlfriend,English,5.1,96,2006,16+,"Everyone's had a painful parting of the ways with a romantic partner. We pick up the pieces and move on. But for one New York guy, it's not going to be so easy. When he breaks up with his girlfriend, he discovers his ex is actually the reluctant superhero, G Girl. A scorned woman, she unleashes her super powers to humiliate and torment him. My super ex-girlfriend stars Uma Thurman as Jenny John...",,,,,,,,Movie,Comedy,,,Licensed,No,1,1
Daag,Hindi,7,134,None,NR,"Living a poor life with his widowed mother, Shankar sells toys for a living, but is addicted to alcohol. He is attracted to Parvati, who also lives a similar life along with her step-brother, Jagat Narayan, his wife, and their daughter, Pushpa. After an argument with his mother, Shankar departs to the city, gives up drinking, earns a lot of money, and returns home just to time to pay off his ...",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,2
The Vast of Night,English,6.7,90,2020,13+,"In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever.",,,,,,,,Movie,Drama, Horror,,Original,Yes,9,28
Mr. & Mrs. Smith,English,6.5,119,2005,16+,A typical married couple a little bored with their relationship come to discover that they are enemy assassins hired to kill each other.,,,,,,,,Movie,Drama, Romance, Suspense,Licensed,Yes,7,19
Fanney Khan,Hindi,4.5,129,2018,13+,Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.,,,,,,,,Movie,Drama, Comedy, Arts,Licensed,Yes,1,6
Duniya,Hindi,7.1,169,1984,All,"The story revolves around Mohan (Dilip Kumar), a genuine and conscientious man, who is falsely framed for the murder of his good friend who also happens to be his boss. The trio that killed his friend and framed him are Mohan's fellow employees. He serves his sentence and is finally released after many years and sets out for revenge by going after the ones that caused him his misery.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
The Last Airbender,Telugu,4,103,2010,All,"Air, Water, Earth, Fire. Four nations tied by destiny when Fire launches war against the others. Caught between the war, one Avatar discovers he's able to manipulate all four elements.",,,,,,,,Movie,Kids, Action,,Licensed,Yes,14,24
Villain,Bengali,4.9,132,2018,All,"""Villain"" narrates the story of Raja, the protagonist, whose life takes an unknown turn when he meets his lookalike Joy, that leads to a series of incidents that follow due to the exchanged identities.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,6
Pyaar Impossible,Hindi,4.6,140,2010,All,"In Ankert University, Alisha (Priyanka Chopra) is the most beautiful girl on campus. 
Abhay (Uday Chopra) loves her too. Abhay is a nerdy geek of the college and she doesn’t know that he exists. Years later their paths cross and Abhay is reduced to playing nanny to Alisha’s young daughter. It's his only chance to realize his dream...he must win over her kid, he must be the man she always wanted, but didn’t know it was HIM.",,,,,,,,Movie,Comedy, International, Romance,Licensed,Yes,1,8
Kal Ho Naa Ho,Hindi,8,187,2003,All,"Naina Kapur is a beautiful introvert and often keeps to herself. Her life soon changes, when she befriends her neighbour, Aman Mathur, who is jaunty and bubbly. Naina falls in love with Aman and decides to confess her love to him. She is heart-broken, when she finds out that Aman is married. But the truth unravels, and Aman has lied about being married. His lie hides a dark secret.",,,,,,,,Movie,Drama, International, Romance,Licensed,No,1,4
Dilwale Dulhania Le Jayenge,Hindi,8.1,189,1995,All,"When Raj (Shahrukh Khan) & Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn’t exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri).",,,,,,,,Movie,International, Romance,,Licensed,Yes,1,11
Amal,Hindi,7.5,103,2008,All,"Amal is an emotionally evocative story about an auto-rickshaw driver in New Delhi (Amal) who is content with his small, but vital role in life. One day he drives an eccentric billionaire (G.K. Jayaram) who, is searching the streets for the last morsel of humanity and someone he can leave all his money to, and Amal's life may change forever..",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,7
Raja Rani Raji,Bengali,None,140,2018,13+,"Will the good-for-nothing Raja prove his worth to Isha and her father, by keeping up to his challenge of securing his future?",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Takatak,Marathi,6,143,2019,18+,"Kamakshi and Minakshi are siblings, but their similarities end there. While Kamakshi is level-headed and mature, her younger sister is rather wild and impulsive. With Kamakshi getting hitched to a porn addicted government employee and Minakshi ending up in the middle of a love triangle, the two sisters are about to get caught up in a roller coaster ride of a lifetime.",,,,,,,,Movie,Young Adult Audience, International, Comedy,Licensed,Yes,1,9
Leeches,Hindi,7.2,27,2016,18+,"In the Old City of Hyderabad, Raisa hatches a dangerous plan to save her younger sister from becoming a one-day bride when she finds an archaic remedy that could restore a girl's virginity.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,7
Addams Family Values,English,6.8,94,1993,7+,The family’s future grows bleak when the no-good nanny marries Fester and has the kids shipped off to summer camp. But Wednesday still has a Thing or two up her sleeve,,,,,,,,Movie,Comedy,,,Licensed,No,1,1
Mitron,Hindi,6.9,116,2018,13+,"Jay, born and brought up with middle-class values, easy going approach to life. Unhappy with Jay’s lifestyle his father decides to get him married, in the hope of bringing stability to this life. He accidently meets Avni, an ambitious girl. Avni tells him that she is not interested in getting married.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,9
Chak De India,Hindi,8.2,148,2007,All,"""Kabir Khan (Shahrukh Khan), the ex Indian Captain has now come back as the Coach of the Women's National Hockey team. A rag-tag bunch of girls who’ve forgotten what it’s like to play for the love of the game. CHAK DE INDIA is the story of a coach's fight of making his team, Team India by overcoming their diverse backgrounds, by learning to use everything that life hurls on them as a secret weapon",,,,,,,,Movie,Drama, International, Sports,Licensed,Yes,1,10
October,Hindi,7.5,115,2018,All,"Dan’s, is as life of any carefree 21 year old, revolving around a bunch of friends and fellow hotel interns who feed off each other’s everyday moments, ups and downs. Shiuli is one such intern at the same hotel, who at times is at a receiving end of Dan’s audaciousness. Life goes on until a sudden turn of events smashes Dan and Shiuli’s lives together in a bond that’s unlike any 21 year olds.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,9
Mee Tulas Tujhya Angani,Marathi,None,136,2005,All,A woman who sells milk to earn a living gets married to an affluent man. Problems arise when the groom's mother finds out about the marriage.,,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Mrs. Scooter,Hindi,6.6,95,2015,13+,"There is a woman who gets married, her husband buys a scooter on the same day, and later, he abandons both. The story is woven around the parallel lives of the scooter and the woman, who go through the same situation.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,2
Pagalpanti,Hindi,3.1,148,2019,13+,"3 men, considered as losers in their lives by the people, plan to get rich along with their girlfriends by fooling 2 gangsters and robbing their money.",,,,,,,,Movie,Comedy, Action,,Licensed,Yes,1,8
Man On Fire,English,None,92,1987,13+,"An agent newly retired from the CIA (Scott Glenn) agrees to become an Italian businessman's bodyguard in this adventure film. Things fall apart though, when terrorists kidnap the Italian's daughter and the agent must rescue her.",,,,,,,,Movie,Action, Suspense, Drama,Licensed,Yes,9,25
Widows,English,6.9,129,2018,18+,"From acclaimed director Steve McQueen (12 Years a Slave) and co-writer Gillian Flynn (Gone Girl) comes a blistering, contemporary crime thriller with a powerful ensemble cast!",,,,,,,,Movie,Drama,,,Licensed,Yes,9,21
Kabhi Kabhie,Hindi,7.4,172,1976,13+,"Kabhi Kabhie is a story of how Amit (Amitabh Bachchan) and Pooja (Rakhee) visualize a future together. Pooja bows to the wishes of her parents and marries Vijay (Shashi Kapoor). Amit marries Anjali (Waheeda Rehman). Pooja and Vijay’s son Vicky (Rishi Kapoor) and Anjali’s daughter Pinky (Neetu Singh) from a prior relationship, fall in love. A chain of events brings together old lovers as friends.",,,,,,,,Movie,International, Drama, Romance,Licensed,Yes,1,2
Band Baaja Baaraat,Hindi,7.2,139,2010,7+,"Shruti (Anushka Sharma), girl in her 20's, focused, determined as well ambitious. Bittoo (Ranveer Singh), on the other hand, has no real aim in life. They become partners in their very own “Wedding planning ka bijness”. Together, their friendship and business, enters the ups and downs of the lavish Delhi weddings and while trying to find themselves, Shruti and Bittoo discover each other.",,,,,,,,Movie,Drama, Romance, International,Licensed,Yes,1,7
The Report,English,7.2,119,2019,16+,"In a thriller based on actual events, an idealistic Senate staffer leads an investigation into the CIA’s post-9/11 Detention and Interrogation Program, uncovering the lengths to which the agency went to hide a brutal secret from the American public.",,,,,,,,Movie,Suspense, Military and War, Drama,Original,Yes,9,26
Kaatru Veliyidai,Tamil,5.9,138,2017,All,"Kaatru Veliyidai is a passionate love story, between a fighter pilot, VC and a doctor, Leela, that mirrors the picturesque and turbulent Srinagar that it is set in.",,,,,,,,Movie,Romance, International,,Licensed,Yes,1,13
Raja The Great,Telugu,6.5,150,2017,16+,"Raja The Great, is a story of a blind man (Ravi Teja) who doesn’t let his disabilities hold him back. Mehreen Pirzaada, plays a girl who loses her parents. Mehreen is threatened by the villain. Raja discovers that the heroine is disappointed with her life and is very unhappy. Rest of the story is how Raja uses his intelligence to unite Mehreen with her family and protects her from the villian.",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,10
Joker (Tamil),Tamil,8.4,129,2016,All,"Mannar (protagonist), a villager, who declares himself as Indian President, protests government for absurdities. On a trial, he reveals his past. When everyone sees him as Joker, audience are questioned at the end.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,5
Bank Chor,Hindi,5.9,2,2017,13+,"Champak Chiplunkar (Riteish Deshmukh) recruits 2 people from Delhi and picks the worst day possible to rob a bank. With the craziest bunch of hostages, a possibly undercover cop and Baba Sehgal, it gets worse with an unpredictable CBI officer Amjad Khan (Vivek Anand Oberoi) and a mad media circus outside led by fashion journo turned crime reporter Gayatri Ganguly (Rhea Chakraborty).",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,13
Silence (Malayalam),Malayalam,3.8,125,2020,16+,A murder-mystery thriller. A world-famous cello player is murdered and crucified in a Seattle Villa that has a reputation for being haunted. His friends and family try to figure out if he was really killed by a supernatural being or if he was assassinated by someone he knows. His dumb and deaf wife and a police detective are pinned against each other as they discover the victim's dark past.,,,,,,,,Movie,Suspense,,,Licensed,Yes,1,1
One Way Ticket,Marathi,4.8,92,2016,13+,One Way Ticket is a suspense and romantic thriller. It is a story of intertwined destinies that promises to take you on an exciting journey of 6 unexpected strangers on a cruise.,,,,,,,,Movie,International, Romance,,Licensed,Yes,1,4
Ardab Mutiyaran,Punjabi,7.3,139,2019,13+,"Babbu, a young, spirited and bold girl finds her calling as a recovery agent in a finance company run by another headstrong girl, Shruti. Babbu’s partner Vicky is always at the receiving end of Shruti’s wrath. Owing to their constant clashes, Shruti sends Babbu for a false recovery to bring her down. This results in Babbu meeting Rinku Bansal.",,,,,,,,Movie,International, Comedy, Drama,Licensed,Yes,1,8
Humpty Sharma Ki Dulhania,Hindi,6,131,2014,13+,"Watch this exciting romantic comedy, where the spirited Kavya and the happy-go-lucky Humpty meet at the most unexpected point of their lives. In no time the effortless warmth within them turns into a tale of love, furthermore steering them through a love roller coaster.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,9
Loveyatri - The Journey of Love,Hindi,3,132,2018,13+,"Loveyatri is a contemporary love story of Sushrut and Michelle, which revolves around the festival of Navratri. Sushrut and Michelle’s blossoming relationship hits a deadlock and she travels back to UK. Sushrut travels to the UK, to win back his love. it is a musical roller coaster ride of friendship, family, love and relationships culminating with a lot of colour, lights and festivities.",,,,,,,,Movie,Romance, International, Comedy,Licensed,Yes,1,9
RX100,Telugu,6.9,148,2018,18+,"Shiva (Kartikeya) is a village youth who falls for a city bred girl Indu (Payal). As a passionate romance brews, Shiva falls madly in love with her, but things don't turn out as expected. Indu got married to someone else and departs to USA ,but Shiva waits 3 years for her in mad hope of uniting with her. She returns to their village one day, but does Shiva get her back?",,,,,,,,Movie,Adventure, Romance, International,Licensed,Yes,1,9
Hi Porgi Kunachi,Marathi,5.6,130,2007,All,"Sushila decides to have a baby through IVF and names her Gauri. When Gauri grows up and decides to get married to Anand, his family insists on meeting her biological father..",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,1
Student of the Year 2,Hindi,2.2,145,2019,13+,"Rohan (Tiger Shroff) is a student, athlete from a mediocre Pishorilal Chamandas College. He dreams of becoming the Student of the Year one day. His life takes a turn, when he gets accepted to St. Teresa College, encounters his rival Manav & has the beautiful Shreya and Mia who begin to fall for him. Their life gets tangled through competition, failure, manipulation and heartbreaks.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,14
Por Bazaar,Marathi,6.6,97,2014,13+,"One day, five college friends skip class and come across a house conducting seemingly strange activities. Soon, they find a bunch of innocent kids trapped inside and decide to investigate.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Pataakha,Hindi,7.2,131,2018,13+,"Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,1,8
Under World,Malayalam,5.7,158,2019,13+,Story of a group of people who must navigate the dark and dirty games of Kerala's underworld as they chase illegal money.,,,,,,,,Movie,Action, International,,Licensed,Yes,1,8
